Project Universal ID,Project Name,Builders,Parent Builder,Status,Master Plan Name,Master Plan Developer Name,Plan Name,Bedrooms,Bathrooms,Floors,Garages,Unit Size,List Price,Last Update Date,Plan Universal ID,Active Adult,ZIP Code,City,County,County Code,CBSA,CBSA Code,State,School District,School Attendance Zone (Elementary),School Ratings (Elementary),School Attendance Zone (Middle),School Ratings (Middle),School Attendance Zone (High),School Ratings (High),Boundary Names,Latitude,Longitude
aAf3x000001WoRWCA0,Hickory Run,M/I Homes,,Active,,,Glendale Basement,4,2.50,2,2,3152,492490,5/18/2026,aAaPc0000018rMyKAI,Non Active Adult,46239,Indianapolis,Marion,18097,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Franklin Township Com Sch Corp,,,,,Franklin Central High School,9,,39.68048,-85.99215
aAf3x000001QeudCAC,Miles Farm/Tradition,D.R. Horton,"D.R. Horton, Inc.",Active,,,Dayton,5,3.50,2,2,3388,473900,5/19/2026,aAaPc000000RUtFKAW,Non Active Adult,46122,Danville,Hendricks,18063,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Danville Community School Corp,Danville Middle School; South Elementary School,8; 7,Danville Middle School,8,Danville Community High School,8,,39.76422,-86.53935
aAf3x000001QKUpCAO,Vintners Park Estates,Drees Homes,,Active,,,ALDEN,4,2.50,2,3,3055,644900,5/19/2026,aAa3x000000YeIDCA0,Non Active Adult,46055,McCordsville,Hancock,18059,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Mt Vernon Community Sch Corp,McCordsville Elementary School,6,Mt Vernon Middle School,6,Mt Vernon High School,8,,39.91338,-85.92927
aAf3x000001WXjRCAW,Cedar Ridge,Fischer Homes,,Active,,,Yosemite,3,2.50,2,2,2258,345990,5/25/2026,aAa3x000000U0wfCAC,Non Active Adult,46052,Lebanon,Boone,18011,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Lebanon Community School Corp,Central Elementary School,9,Lebanon Middle School,5,Lebanon Senior High School,9,,40.05570,-86.45563
aAf3x000001QL0CCAW,Courtyards of Fishers,EPCON Communities,,Active,,,Promenade III,2,2.00,1,2,2053,506900,5/14/2026,aAaPc000000MwIRKA0,Non Active Adult,46040,Fishers,Hamilton,18057,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Hamilton Southeastern Schools,Hamilton Southeastern Jr High School; Southeastern Elementary School,9; 7,Hamilton Southeastern Jr High School,9,Hamilton Southeastern High School,10,,39.95638,-85.87368
aAf3x000001WoRWCA0,Hickory Run,M/I Homes,,Active,,,Mackey II,2,2.00,1,2,1603,312990,5/18/2026,aAa3x000000ZaBfCAK,Non Active Adult,46239,Indianapolis,Marion,18097,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Franklin Township Com Sch Corp,,,,,Franklin Central High School,9,,39.68048,-85.99215
aAfPc00000163QrKAI,Oberlin/Simplicity,Taylor Morrison,,Active,,,Simplicity 1594,3,2.50,2,2,1594,308000,5/6/2026,aAaPc000000cKnpKAE,Non Active Adult,46113,Camby,Marion,18097,"Indianapolis-Carmel-Greenwood, IN",26900,IN,M S D Decatur Township,West Newton Elementary School,5,Decatur Middle School,3,Decatur Central High School,3,,39.65344,-86.31662
aAfPc000000p28VKAQ,Willow Ridge,Silverthorne Homes,Clayton Properties Group,Active,,,Monroe,4,2.50,2,2,3310,394995,5/7/2026,aAaPc000000JYRfKAO,Non Active Adult,46163,New Palestine,Hancock,18059,"Indianapolis-Carmel-Greenwood, IN",26900,IN,New Palestine Community Schools,New Palestine Elementary School,8,New Palestine Jr High School,8,New Palestine High School,10,,39.72820,-85.88640
aAfPc000001Ze6rKAC,Honey Creek Farms/Venture,Lennar,,Upcoming,,,Harrison,3,2.00,1,2,1549,,4/27/2026,aAaPc000001ELNNKA4,Non Active Adult,46143,Greenwood,Johnson,18081,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Center Grove Com Sch Corp,Center Grove Elementary School,7,Center Grove Middle School Central,8,Center Grove High School,10,,39.56905,-86.14219
aAfPc000001T95lKAC,Winterfield/Tradition,D.R. Horton,"D.R. Horton, Inc.",Active,,,Bellamy,4,2.50,2,2,2053,334900,4/8/2026,aAaPc000000e237KAA,Non Active Adult,46131,Franklin,Johnson,18081,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Franklin Community School Corp,Needham Elementary School; Custer Baker Intermediate School,7; 7,Franklin Community Middle School,7,Franklin Community High School,6,,39.51567,-86.03785
aAf3x000001WrTwCAK,Westwind at Cumberland,Arbor Homes,Clayton Properties Group,Active,,,Palmetto,4,2.50,2,2,2580,308995,5/25/2026,aAa3x000000YX10CAG,Non Active Adult,46131,Franklin,Johnson,18081,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Franklin Community School Corp,Custer Baker Intermediate School; Creekside Elementary School,7; 6,Franklin Community Middle School,7,Franklin Community High School,6,,39.49405,-86.08407
