Project Universal ID,Project Name,Builders,Parent Builder,Status,Master Plan Name,Master Plan Developer Name,Plan Name,Bedrooms,Bathrooms,Floors,Garages,Unit Size,Current List Price,Last Update Date,Plan Universal ID,Period,Period Price,Active Adult,ZIP Code,City,County,County Code,CBSA,CBSA Code,State,School District,School Attendance Zone (Elementary),School Ratings (Elementary),School Attendance Zone (Middle),School Ratings (Middle),School Attendance Zone (High),School Ratings (High),Boundary Names,Latitude,Longitude
aAf3x000001QeGfCAK,Berry Chase,M/I Homes,,Active,,,Cheswicke II Basement,3,2.00,1,2,2191,513490,5/25/2026,aAaPc000000P11oKAC,3/24/2025,499490.00,Non Active Adult,46143,Greenwood,Johnson,18081,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Center Grove Com Sch Corp,Sugar Grove Elementary School,6,Center Grove Middle School North,8,Center Grove High School,10,,39.60149,-86.17949
aAf3x000001QKUpCAO,Vintners Park Estates,Drees Homes,,Active,,,SEBASTIAN,3,3.50,1,3,2769,724900,5/19/2026,aAa3x000000YeIcCAK,8/16/2023,673000.00,Non Active Adult,46055,McCordsville,Hancock,18059,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Mt Vernon Community Sch Corp,McCordsville Elementary School,6,Mt Vernon Middle School,6,Mt Vernon High School,8,,39.91338,-85.92927
aAf3x000001QhcyCAC,Cardinal Grove/Express,D.R. Horton,"D.R. Horton, Inc.",Active,,,Stamford,4,2.50,2,2,2346,351900,4/23/2026,aAaPc000000XxR7KAK,11/10/2025,369900.00,Non Active Adult,46221,Indianapolis,Marion,18097,"Indianapolis-Carmel-Greenwood, IN",26900,IN,M S D Decatur Township,Gold Academy,4,Decatur Middle School,3,Decatur Central High School,3,,39.67001,-86.27891
aAf3x000001WeIxCAK,Silver Stream,Arbor Homes,Clayton Properties Group,Active,,,Aspen II,4,2.50,2,2,2176,293995,5/21/2026,aAa3x000000Yee5CAC,2/18/2023,281895.00,Non Active Adult,46235,Indianapolis,Marion,18097,"Indianapolis-Carmel-Greenwood, IN",26900,IN,M S D Lawrence Township,Indian Creek Elementary School,4,Fall Creek Valley Middle School,5,Lawrence North High School,5,,39.84161,-85.98043
aAf3x000001QYqPCAW,Auburn Ridge,M/I Homes,,Active,,,Berkeley Basement,4,2.50,2,2,3273,565990,5/8/2026,aAaPc000000Egb6KAC,6/13/2025,559990.00,Non Active Adult,46112,Brownsburg,Hendricks,18063,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Brownsburg Community Sch Corp,White Lick Elementary School,8,Brownsburg West Middle School,8,Brownsburg High School,10,,39.83231,-86.42558
aAf3x000001WeIxCAK,Silver Stream,Arbor Homes,Clayton Properties Group,Active,,,Spruce,4,2.50,2,2,2343,294995,5/21/2026,aAa3x000000UEQECA4,2/20/2024,285995.00,Non Active Adult,46235,Indianapolis,Marion,18097,"Indianapolis-Carmel-Greenwood, IN",26900,IN,M S D Lawrence Township,Indian Creek Elementary School,4,Fall Creek Valley Middle School,5,Lawrence North High School,5,,39.84161,-85.98043
aAf3x000001WrRPCA0,Augusta Heights,Arbor Homes,Clayton Properties Group,Active,,,Palmetto,4,2.50,2,2,2600,301995,5/14/2026,aAa3x000000YeldCAC,2/12/2023,258995.00,Non Active Adult,46268,Indianapolis,Marion,18097,"Indianapolis-Carmel-Greenwood, IN",26900,IN,M S D Pike Township,,,,,Pike High School,4,,39.89474,-86.21371
aAf3x000001WYwsCAG,Trailside,D.R. Horton,"D.R. Horton, Inc.",Active,,,Muncie,3,2.00,1,2,1818,368900,5/29/2026,aAaPc0000019dhzKAA,4/16/2026,367900.00,Non Active Adult,46075,Whitestown,Boone,18011,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Lebanon Community School Corp,Perry Worth Elementary School,6,Lebanon Middle School,5,Lebanon Senior High School,9,,40.00540,-86.34623
aAf3x000001YlGQCA0,Brandywine Fields,Ryan Homes,NVR Inc.,Active,,,Cedar,4,2.50,2,2,1903,289990,4/27/2026,aAa3x000000TxITCA0,1/6/2025,279990.00,Non Active Adult,46140,Greenfield,Hancock,18059,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Greenfield-Central Com Schools,J B Stephens Elementary School; Maxwell Intermediate School,8; 6,Greenfield Central Junior High School,6,Greenfield-Central High School,7,,39.81131,-85.74918
aAf3x000001WoRWCA0,Hickory Run,M/I Homes,,Active,,,Akerman II,4,2.50,2,2,2469,345990,5/18/2026,aAaPc000000ATAqKAO,8/9/2024,331990.00,Non Active Adult,46239,Indianapolis,Marion,18097,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Franklin Township Com Sch Corp,,,,,Franklin Central High School,9,,39.68048,-85.99215
aAf2T000001MiySSAS,Briar Creek Ranches,Ryan Homes,NVR Inc.,Active,,,Grand Bahama,3,2.00,1,2,1365,281990,5/9/2026,aAaPc000000VBbtKAG,2/28/2026,278990.00,Non Active Adult,46184,Whiteland,Johnson,18081,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Clark-Pleasant Com School Corp,Whiteland Elementary School,8,Clark Pleasant Middle School,7,Whiteland Community High School,5,,39.54723,-86.09546
aAfPc000001Hkh0KAC,CityPointe,M/I Homes,,Active,,,Muirfield,3,2.50,2,2,1909,391990,5/20/2026,aAaPc000000V6itKAC,6/30/2025,389990.00,Non Active Adult,46240,Indianapolis,Marion,18097,"Indianapolis-Carmel-Greenwood, IN",26900,IN,M S D Washington Township,Nora Elementary School,5,Northview Middle School,5,North Central High School,7,,39.92505,-86.13075
aAf3x000001QbsiCAC,Colonnade/Cornerstone Series,Taylor Morrison,,Active,,,Chelsea,3,2.50,2,2,2103,376000,5/23/2026,aAa3x000000ZoSoCAK,9/1/2023,372000.00,Non Active Adult,46055,McCordsville,Hancock,18059,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Mt Vernon Community Sch Corp,McCordsville Elementary School,6,Mt Vernon Middle School,6,Mt Vernon High School,8,,39.89076,-85.91252
aAf3x000001WeIxCAK,Silver Stream,Arbor Homes,Clayton Properties Group,Active,,,Cooper,4,2.50,2,0,2813,314995,5/21/2026,aAa3x000000UEQHCA4,10/28/2024,314995.00,Non Active Adult,46235,Indianapolis,Marion,18097,"Indianapolis-Carmel-Greenwood, IN",26900,IN,M S D Lawrence Township,Indian Creek Elementary School,4,Fall Creek Valley Middle School,5,Lawrence North High School,5,,39.84161,-85.98043
aAf3x000001YafaCAC,Heron Creek,Arbor Homes,Clayton Properties Group,Active,,,Ashton,3,2.00,1,2,1354,263995,5/10/2026,aAa3x000000gaIrCAI,7/9/2021,229995.00,Non Active Adult,46140,Greenfield,Hancock,18059,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Mt Vernon Community Sch Corp,Mt Comfort Elementary School,6,Mt Vernon Middle School,6,Mt Vernon High School,8,,39.80734,-85.92481
aAf3x000001YgzhCAC,Sunrise Lake,Bridgenorth Homes,,Active,,,Wellington,3,2.00,1,3,1826,327490,4/29/2026,aAa3x000000grrSCAQ,8/4/2022,327490.00,Non Active Adult,46163,New Palestine,Hancock,18059,"Indianapolis-Carmel-Greenwood, IN",26900,IN,New Palestine Community Schools,New Palestine Elementary School,8,New Palestine Jr High School,8,New Palestine High School,10,,39.73229,-85.88604
aAf3x000001Qh4yCAC,Scottsdale Estates,Arbor Homes,Clayton Properties Group,Active,,,Juniper,4,2.50,2,2,1760,325995,5/21/2026,aAaPc00000087XYKAY,3/6/2024,304995.00,Non Active Adult,46143,Greenwood,Johnson,18081,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Clark-Pleasant Com School Corp,Pleasant Crossing Elementary,7,Clark Pleasant Middle School,7,Whiteland Community High School,5,,39.55660,-86.14305
aAf3x000001WohdCAC,Brookstone Landings,Pulte Homes,PulteGroup Inc.,Active,,,Boardwalk,4,2.50,2,2,2662,401990,5/7/2026,aAa3x000000YlfNCAS,6/13/2025,401990.00,Non Active Adult,46123,Avon,Hendricks,18063,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Avon Community School Corp,Sycamore Elementary School; Avon Intermediate School East,8; 6,Avon Middle School North,10,Avon High School,10,,39.77761,-86.35361
